path	size_bytes	size_mib	class	evidence_hint
exports/validation/mvos_option1_next_repair_wave/agent910_copied_temp_contract_proof/copied_temp/agent910_contract_proof_copy.db	258490368	246.5	CANDIDATE_COPIED_TEMP_DB	nearby_evidence
exports/validation/mvos_option1_next_repair_wave/agent910_copied_temp_contract_proof/backups/agent910_contract_proof_copy_before_agent8_c3_policy_materialization_20260518_214636.db	258478080	246.5	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_execution_wave/20260515_111124/agent820_webui_lifecycle_status_copy_proof/copied_db/app_copy.db	257089536	245.2	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/post_order_entry_next_phase_proof_wave/20260515_0920/agent813_copied_temp_downstream_replay/app_copy.db	256978944	245.1	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/post_order_entry_next_phase_proof_wave/20260515_0920/agent813_copied_temp_downstream_replay/app_copy_after_unsafe_stock_ledger_apply.db	256978944	245.1	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/mvos_execution_wave/20260515_111124/agent826_stock_ledger_hardening/app_copy.db	256974848	245.1	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/mvos_option1_next_repair_wave/agent910_copied_temp_contract_proof/backups/agent910_contract_proof_copy_before_copied_temp_source_freshness_bridge_20260518_214633.db	256831488	244.9	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_option1_next_repair_wave/agent910_copied_temp_contract_proof/backups/agent910_contract_proof_copy_before_agent8_c3_policy_materialization_20260518_214623.db	256802816	244.9	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_phase40_copied_db_validator_baseline/20260522_061104/app_phase40_copy.db	256561152	244.7	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/mvos_retained_blocker_repair_wave/20260518/agent886_successor_copied_temp_board_proof/agent886_current_boundary_copy.db	256487424	244.6	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/mvos_retained_blocker_repair_wave/20260518/agent886_successor_copied_temp_board_proof/backups/agent886_current_boundary_copy_before_agent8_c3_policy_materialization_20260518_095340.db	256483328	244.6	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_retained_blocker_repair_wave/20260518/agent886_successor_copied_temp_board_proof/backups/agent886_current_boundary_copy_before_copied_temp_source_freshness_bridge_20260518_095340.db	256483328	244.6	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_retained_blocker_repair_wave/20260518/agent886_successor_copied_temp_board_proof/backups/agent886_current_boundary_copy_before_agent8_c3_policy_materialization_20260518_095025.db	256458752	244.6	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_owner_qa_repair_wave/20260517_2223/agent880_synthesis_copied_temp_board_proof/agent880_current_boundary_copy.db	256454656	244.6	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
exports/validation/mvos_retained_blocker_repair_wave/20260518/agent886_successor_copied_temp_board_proof/backups/agent886_current_boundary_copy_before_copied_temp_source_freshness_bridge_20260518_095024.db	256454656	244.6	CANDIDATE_COPIED_DB_BACKUP	nearby_evidence
exports/validation/mvos_agent846_yellow_repair_wave/20260517_143308/agent859_synthesis_copied_temp_rerun/agent859_copied_temp_mvos_20260517.db	256450560	244.6	CANDIDATE_COPIED_TEMP_DB	same_dir_evidence
